theta,omega
2.4458346706,-1.1053754900
3.0521970922,-0.8496467588
2.2234644944,-1.2159326470
3.0471565713,-0.6042250478
3.1108943591,-0.8476874277
2.3382701290,-1.2322154646
3.1159301729,-0.5525989262
3.0885576206,-0.8525881799
2.1584540639,-1.2892003588
2.9742578740,-0.6658190400
2.4965930762,-1.1568556493
3.0724512925,-0.8493417706
2.1643754938,-1.2749230814
2.9777725775,-0.6586779217
2.8047254129,-1.0191178831
3.0300196091,-0.8302483253
2.2579770171,-1.1884779176
3.0842917780,-0.5764349438
2.8469945100,-0.6185952622
2.2838185581,-1.1622738931
3.1236527920,-0.5476817697
2.2408020920,-1.0666003303
3.1374837776,-0.5319037544
3.0945272581,-0.8506124841
2.1765802723,-1.2896304535
2.9861708885,-0.6549150327
